m,Transaction Description,Category,Amount,Account Name,Account Type
2024-01-28,Security fall ready.,Services,-458.65,Miller Ltd,Credit Card
2024-01-11,Do center law live religious.,Transport,441.12,Goodwin-Harris,Credit Card
2024-01-12,Candidate whom gun.,Health,-252.14,"Todd, Collins and Mcgee",Checking
2024-02-08,Which fast there network.,Services,276.34,Austin Inc,Checking
2024-01-07,Contain year bill ok.,Shopping,114.89,"Boyer, Hunt and Hernandez",Savings
2024-02-08,Heavy chair by.,Utilities,-319.51,Rodriguez-West,Credit Card
2024-01-27,Firm drug senior.,Dining,-223.79,Reyes Ltd,Checking
2024-01-22,Head production technology.,Rent,257.14,"Pennington, Perez and Lawrence",Credit Card
2024-01-05,After back available inside nearly.,Shopping,374.95,Williams LLC,Checking
2024-01-04,Opportunity fear great.,Utilities,203.99,"Silva, Washington and Moses",Checking
2024-01-16,Know hard we.,Shopping,-116.28,"Mendoza, Flores and Daniel",Savings
2024-01-25,Heavy across.,Groceries,274.52,Wilson PLC,Credit Card
2024-01-24,Kid he weight before.,Health,-402.56,"Walls, Anderson and Thomas",Checking
2024-01-06,Someone everybody newspaper.,Shopping,459.81,Wilson Group,Savings
2024-01-15,Somebody land human.,Transport,165.21,Johnson LLC,Savings
2024-01-27,It easy law view.,Utilities,108.96,Cruz-Cooper,Savings
2024-01-15,Green place beat.,Dining,162.63,Jensen-Walsh,Credit Card
2024-02-04,Far store last.,Dining,-470.7,"Summers, Weaver and Morgan",Credit Card
2024-01-07,Account fear shoulder pick.,Groceries,220.89,"Smith, Odonnell and Weiss",Credit Card
2024-01-27,Participant interest seem begin marriage.,Dining,410.14,"Roy, Rivera and Cooper",Savings
2024-01-17,Myself if place.,Shopping,-223.68,Austin Group,Checking
2024-02-09,Building this.,Services,227.94,King Inc,Savings
2024-01-27,A huge.,Shopping,476.73,"Jones, Duarte and Anderson",Savings
2024-01-10,Report know second government the.,Health,382.65,Meyer and Sons,Savings
2024-02-08,Other along society.,Dining,-238.56,Davis-Huff,Checking
2024-01-30,Move brother teacher.,Dining,-279.11,Cowan Ltd,Checking
2024-01-27,Attention team executive.,Shopping,277.06,"Hayden, Ross and Lynch",Credit Card
2024-01-29,Off phone most.,Health,-265.89,"Gonzales, Moore and Le",Credit Card
2024-01-14,Western myself scientist tough.,Dining,-240.31,Dickson-Kelley,Checking
2024-01-22,Factor head pick.,Utilities,375.97,Robinson LLC,Savings
2024-01-05,But building husband.,Health,-344.37,Hill Ltd,Credit Card
2024-01-29,Cause property government line.,Rent,-474.41,Miller LLC,Checking
2024-02-08,Design major maybe manage.,Utilities,-59.14,Brennan-Casey,Checking
2024-01-19,Know central.,Health,297.32,Johnson-Carr,Checking
2024-01-16,Appear perform agent likely.,Services,468.31,Pratt-Jackson,Checking
2024-01-28,Suffer without.,Utilities,-367.17,Werner-Hunt,Credit Card
2024-01-12,Rather score.,Shopping,-439.11,Grimes-Davis,Savings
2024-01-15,According American per yourself.,Shopping,33.75,"Patel, Ortiz and Miller",Savings
2024-01-09,Road dinner seem.,Rent,-332.5,Barajas-Thompson,Savings
2024-01-10,Course its respond.,Entertainment,432.32,Fuller Ltd,Checking
2024-02-09,Collection instead today itself.,Transport,-250.61,"Mitchell, Johnson and Smith",Savings
2024-01-10,Value challenge firm decade.,Health,476.79,Jones-Daugherty,Credit Card
2024-01-02,Know smile home.,Services,88.72,Stewart-Kelley,Credit Card
2024-01-30,Hope detail cultural vote.,Shopping,-9.25,Williams-Erickson,Checking
2024-02-01,Report town almost plan that.,Entertainment,-441.68,"Black, Green and Brown",Checking
2024-01-13,Arm point community particularly.,Utilities,-294.58,Barnes-Aguilar,Credit Card
2024-01-24,Beautiful than seem sign third.,Groceries,-57.06,Tapia-Lozano,Savings
2024-01-04,Learn place might what.,Entertainment,-176.47,"Burns, Cole and Martinez",Checking
2024-01-05,Upon value ok majority region.,Shopping,-488.45,Jackson-Williams,Checking
2024-02-02,Front amount apply.,Rent,-4.9,"Morton, Reyes and Allen",Checking
2024-02-06,About pressure cell skill.,Entertainment,155.87,Garcia-White,Checking
2024-01-07,Wife however TV.,Dining,-27.07,Horne Inc,Credit Card
2024-01-08,Cover part paper beat.,Dining,166.4,Fox-Martinez,Savings
2024-01-02,Follow lay foot agreement.,Rent,319.57,Porter LLC,Savings
2024-02-10,Couple bag.,Shopping,212.16,Reynolds-Terry,Savings
2024-01-04,Generation study economy rock feeling.,Shopping,-236.99,Martin PLC,Checking
2024-02-03,Team effort gas Republican and.,Dining,-371.82,Harris-Hernandez,Credit Card
2024-02-10,Authority leave right answer speak.,Shopping,-293.79,Mccormick-Lopez,Credit Card
2024-01-27,Leave brother bank better.,Services,-151.93,Stephens-White,Credit Card
2024-02-03,Increase try key.,Entertainment,161.44,"Butler, Stephenson and Acevedo",Checking
2024-01-19,Stand next.,Transport,447.17,Chang and Sons,Savings
2024-02-10,Always Congress majority campaign.,Shopping,339,"Maldonado, Mcgee and Warren",Credit Card
2024-02-04,Various floor itself.,Dining,175.8,Lindsey-Foley,Savings
2024-01-26,Tonight particular smile represent since.,Transport,99.93,"Harmon, Bowen and Tyler",Savings
2024-01-14,Painting movie end discussion budget.,Services,-397.06,Brown and Sons,Credit Card
2024-01-26,Common increase.,Services,291.65,Wagner-Lewis,Checking
2024-02-09,Expect save process.,Services,-164,"Fox, Garcia and Foley",Checking
2024-01-12,Middle teacher business population brother.,Health,463.13,"Smith, Bryan and Miller",Savings
2024-02-11,Grow push region produce develop.,Rent,428.5,"Terrell, Reese and Cole",Checking
2024-01-11,Ask film force.,Dining,-176.36,Rollins-Dudley,Checking
2024-02-02,Pick expert commercial special.,Transport,-26.49,"Foster, Barber and Stafford",Checking
2024-01-29,Measure happen play speech theory.,Services,-209.99,Willis Ltd,Credit Card
2024-02-10,Wish member baby.,Transport,187.95,Hodge Inc,Checking
2024-01-21,Sit simple notice.,Services,-51.8,"Lamb, Steele and Wright",Credit Card
2024-01-29,Dog car do.,Shopping,415.73,"Strickland, Juarez and Taylor",Credit Card
2024-01-14,Government opportunity pick too.,Groceries,23.85,"Beard, Roberts and George",Checking
2024-01-22,Pattern ago.,Groceries,-127.93,Estrada-Richardson,Checking
2024-01-24,Grow lay actually detail present.,Entertainment,-28.74,Shaw-Barker,Savings
2024-02-02,Speak say national region.,Groceries,279.18,Johnson Ltd,Savings
2024-02-01,Else page.,Transport,334.41,Franklin LLC,Savings
2024-02-03,Start size himself.,Services,-117.82,Turner-Taylor,Checking
2024-02-08,Decade firm.,Utilities,-41.09,Pace-Haynes,Credit Card
2024-01-18,Gas kid rise.,Dining,-242.3,Bailey-Little,Credit Card
2024-01-04,Employee public figure.,Utilities,-449.54,Foster-Morales,Credit Card
2024-01-16,Of around piece government.,Groceries,-316.26,"Evans, Briggs and Cunningham",Credit Card
2024-01-30,Physical agency and difficult.,Utilities,-99.2,Lopez and Sons,Savings
2024-01-06,At artist will institution.,Services,417.32,Robertson-Hicks,Savings
2024-01-24,Large center find.,Entertainment,-257.59,"Holmes, Mccullough and Strickland",Savings
2024-01-29,Road size impact act.,Dining,7.38,"Huff, Holland and Stark",Checking
2024-01-31,Move source wonder.,Utilities,116.03,Hamilton-Bryant,Checking
2024-01-17,Service north but west.,Entertainment,185.68,"Rose, Clarke and Lee",Credit Card
2024-02-11,About catch than.,Services,-490.92,Ellis-Jones,Checking
2024-01-10,Style record bag down stock.,Services,152.74,Harper LLC,Credit Card
2024-01-12,East against southern.,Services,195.1,Petersen and Sons,Checking
2024-01-01,Sea stuff no.,Health,396.1,Montgomery Ltd,Savings
2024-02-05,Interview ten.,Entertainment,-205.95,Lynch-Adams,Savings
2024-01-14,Per leader.,Rent,-140,"Ewing, Smith and Lawson",Credit Card
2024-01-06,Past always future.,Utilities,160.43,Guerra LLC,Checking
2024-02-04,Agree usually already bed.,Rent,243.46,Long Group,Savings
2024-01-11,Public leader medical.,Entertainment,-100.61,"Cox, Kelly and Perkins",Credit Card
2024-01-19,Save identify establish.,Entertainment,68.04,Lyons and Sons,Checking
2024-02-08,War address morning explain.,Utilities,389.76,Wheeler LLC,Credit Card
2024-01-09,With significant now energy.,Health,454.91,Rodgers-Harrell,Checking
2024-01-17,Lay return.,Transport,-182.14,Gonzalez-Lopez,Checking
2024-01-21,Get anything event yet.,Dining,-373.97,Crawford and Sons,Credit Card
2024-02-09,Quite old simply.,Entertainment,-70.2,"Vargas, Russell and Burton",Credit Card
2024-01-04,Yet seven several.,Transport,306.04,Bullock Inc,Savings
2024-01-05,Future without will decade not.,Entertainment,444.62,Merritt-Johnson,Checking
2024-02-08,Source wall drug purpose.,Health,-463.5,"Wong, Taylor and Miller",Credit Card
2024-01-08,Race government trouble tonight former.,Health,395.32,Rivera-Hendricks,Credit Card
2024-02-11,Once anything.,Transport,-250.96,"Lopez, Brown and Mata",Credit Card
2024-02-03,Weight guy personal.,Rent,452.01,Werner-Sandoval,Checking
2024-01-11,Manager idea issue color.,Groceries,385.51,Tucker-Olson,Credit Card
2024-01-03,Notice kind game.,Transport,-114.26,Adams-Brewer,Savings
2024-02-09,We lose.,Utilities,336.59,Brock-Moore,Credit Card
2024-01-28,Section could nature.,Entertainment,364.62,Hunt PLC,Savings
2024-01-31,Everything store morning as.,Entertainment,-26.82,"Sullivan, West and Lambert",Savings
2024-01-26,Often walk place.,Shopping,-383.53,"Bradshaw, Miranda and Parks",Credit Card
2024-01-30,Painting senior entire expect investment.,Utilities,-6.15,Silva Inc,Checking
2024-02-03,Watch Mrs never.,Entertainment,455.77,Francis Group,Savings
2024-01-04,Couple site social suddenly.,Transport,30.44,Parks-Garcia,Credit Card
2024-01-02,Choice produce type none guess.,Shopping,357.33,Baker-Glover,Savings
2024-01-07,No in.,Utilities,238.79,"Kelly, Bryan and Pham",Checking
2024-01-31,Sometimes set tonight gun word.,Rent,-294.15,Williams Inc,Credit Card
2024-01-10,Quite piece physical.,Rent,164.59,Beasley Group,Credit Card
2024-01-30,Affect same number drug.,Health,363.64,Bowers-Olson,Checking
2024-02-10,War unit back.,Rent,189.4,Edwards and Sons,Checking
2024-01-28,Door research tell time.,Dining,273.12,Warner Ltd,Savings
2024-01-06,When clearly.,Health,-357.29,"Brady, Perez and Clark",Savings
2024-01-19,Up play.,Shopping,-164.96,Williams Group,Savings
2024-01-05,Education think similar.,Health,200.62,Castro Ltd,Checking
2024-01-18,Foreign film manage several dark.,Transport,427.21,Russell-Mcclain,Savings
2024-02-10,Hit simple personal home.,Shopping,404.19,"Brown, Copeland and Johns",Savings
2024-01-06,Old great.,Dining,-360.78,Castro and Sons,Savings
2024-01-02,Camera report foreign agency list.,Health,308.23,"Clark, Sosa and Rivas",Checking
2024-01-30,Career bank ten guess attorney.,Groceries,324.27,"Harrison, Adams and Lewis",Checking
2024-01-02,Provide likely.,Entertainment,496.37,"Smith, Fields and Williams",Savings
2024-01-10,Up suddenly war fire.,Services,150.79,Walter Ltd,Checking
2024-01-09,Worker share every.,Groceries,-363.32,Moore-Thomas,Savings
2024-02-04,Other identify fill.,Rent,-88.1,"Taylor, Carney and Ashley",Savings
2024-01-07,Clear throughout.,Transport,-228.27,Yang LLC,Checking
2024-01-24,Relate respond rich role.,Utilities,1.83,Rivera Inc,Credit Card
2024-01-11,Analysis never season piece wear.,Services,-374.77,Watson LLC,Savings
2024-02-05,Son spend ball company.,Entertainment,-151.86,Rivera-Washington,Credit Card
2024-02-08,Cut end red.,Entertainment,-186.74,"Fox, Miller and Gonzales",Credit Card
2024-01-03,Site military lead.,Dining,-488.91,Daniels-Arnold,Checking
2024-02-02,Series large check.,Services,449.18,"Jones, Robinson and Newman",Checking
2024-01-02,One political almost serious stand.,Utilities,370.61,"Edwards, Suarez and Thomas",Savings
2024-01-27,Cover social.,Shopping,-309.9,Cruz PLC,Savings
2024-01-21,Draw learn city four pretty.,Dining,-445.56,Beck PLC,Savings
2024-01-31,Sign arm bar military.,Dining,446.13,Cunningham-Bell,Checking
2024-01-05,Spend bag.,Dining,9.09,"Booth, Woods and Vargas",Savings
2024-02-10,Parent now from her.,Entertainment,128.65,Manning-Conway,Checking
2024-01-13,Would technology budget first.,Rent,-195.87,Hunt-Hall,Savings
2024-01-04,Consumer by.,Entertainment,-482.14,"Johnson, Reyes and Rowland",Credit Card
2024-01-11,Though cover including artist.,Utilities,347.98,Sparks-Smith,Credit Card
2024-01-04,Someone treatment over.,Utilities,-424.8,"Jones, Rodriguez and Graham",Credit Card
2024-02-01,Group strong back.,Entertainment,214.82,"Sanchez, Johnson and Romero",Credit Card
2024-01-15,Key page.,Shopping,325.82,Hudson Inc,Checking
2024-01-18,Series public none sound include.,Groceries,72.2,White-Adams,Checking
2024-01-22,Law enough.,Rent,-226.66,Avila-Khan,Savings
2024-01-09,Ask benefit ago again.,Entertainment,-98.65,Smith-Wong,Checking
2024-01-03,Pattern president add lead.,Services,449.24,Pena Group,Checking
2024-01-25,Second reason live teach movie.,Transport,492.11,"Swanson, Cooper and Lang",Credit Card
2024-01-23,So teach energy possible.,Transport,-317.98,"Martin, Williams and Rodgers",Savings
2024-01-02,Student bag.,Utilities,227.35,"Barrett, Hebert and Whitaker",Savings
2024-01-29,Western likely almost training.,Shopping,8.25,"Roberts, Johns and Webb",Checking
2024-01-05,Source where a front war.,Groceries,378.36,Mann PLC,Credit Card
2024-02-03,Civil single city.,Entertainment,205.57,"Petersen, Lambert and Carr",Credit Card
2024-01-19,Wall various foreign.,Transport,179.2,Lane-Good,Checking
2024-01-10,Lot thousand.,Rent,486.26,"Hammond, Grimes and Thomas",Credit Card
2024-01-13,Analysis drive example color.,Entertainment,-139.95,Myers-Richardson,Checking
2024-01-18,Goal clear inside.,Rent,479.01,Allen-Scott,Savings
2024-02-05,Theory case north add.,Groceries,-469.02,Herrera LLC,Savings
2024-01-23,Accept hope soon yourself affect.,Rent,75.47,Allen-Morgan,Credit Card
2024-02-10,Member although since born.,Transport,-323.02,"Thomas, Sanchez and Anthony",Credit Card
2024-01-28,Challenge check skin skin industry.,Entertainment,157.34,Pierce-Herrera,Credit Card
2024-01-09,Trial four easy case member.,Utilities,430.77,"Carlson, English and Griffin",Credit Card
2024-02-03,Hundred candidate not go benefit.,Dining,144.21,Holt PLC,Savings
2024-02-02,Early high trouble drive.,Entertainment,-236.53,Jacobs-Mckinney,Savings
2024-01-10,However ok structure your.,Dining,162.89,Fernandez and Sons,Checking
2024-02-07,Head against particularly listen down.,Rent,175.72,Price-Hunt,Savings
2024-01-03,Particularly test.,Utilities,285.82,Anthony-Stewart,Checking
2024-02-08,Who blood there any.,Shopping,-336.28,Williams and Sons,Checking
2024-02-02,Agree inside thank hotel.,Groceries,167.81,"Guerra, Bradford and Ellis",Credit Card
2024-01-08,Require page.,Shopping,230.12,Mason-Barker,Checking
2024-02-11,College listen city.,Entertainment,-146.72,Cervantes-Allison,Credit Card
2024-01-08,Seven both happy.,Services,-444.34,"Mcconnell, Russo and Cruz",Credit Card
2024-01-17,Pick she picture.,Utilities,349.6,Stafford LLC,Checking
2024-01-26,Cultural whatever.,Health,402.36,Hines PLC,Checking
2024-01-13,Rich foot herself.,Groceries,-331.63,"Hansen, Parker and Nolan",Credit Card
2024-01-06,Fact issue.,Dining,10.45,Brooks-Shah,Credit Card
2024-01-29,Especially road get car.,Utilities,-204.76,Barber Ltd,Savings
2024-01-22,Ground all office less politics.,Dining,-40.7,Hunter Inc,Savings
2024-02-02,Sing nation.,Dining,57.76,"Aguilar, Rivera and Quinn",Checking
2024-01-09,Catch check clearly ahead career.,Services,-69.13,"Vang, Santana and Young",Savings
2024-01-01,Ground think save respond.,Shopping,-480.22,Kramer Ltd,Credit Card
2024-01-23,Range sort trial study.,Transport,-320.27,Davis-Chapman,Credit Card
2024-02-03,Tonight garden maybe.,Rent,-180.73,Mckinney-Barton,Checking
2024-01-20,Mouth certain heavy science.,Dining,-28.63,"Dunlap, Nielsen and Schmidt",Savings
2024-01-28,Figure they yeah get we.,Utilities,397.12,Ramirez and Sons,Checking
2024-01-25,Fill improve image best win.,Rent,337.62,Garza and Sons,Checking
2024-01-16,Above other relate.,Transport,-7.88,Anderson and Sons,Savings
2024-02-01,Blood single recently other owner.,Health,-317.16,Crawford-Turner,Credit Card
2024-01-18,Book read pass heart soldier.,Services,-384.06,"Jensen, Harris and Taylor",Credit Card
2024-01-19,Break gun.,Utilities,-473.3,"Russell, Farley and Gonzalez",Credit Card
2024-02-10,Five put hard recent.,Rent,233.66,"Smith, Medina and Castillo",Savings
2024-02-01,Speech director city necessary.,Transport,248.46,Campos Ltd,Checking
2024-01-13,Sister meet.,Health,394.43,Miller-Cortez,Credit Card
2024-01-08,Ago poor coach.,Groceries,-150.87,"Phelps, Delacruz and Conner",Credit Card
2024-01-28,Important produce just raise enough.,Transport,-135.93,"Walker, Shannon and Holloway",Checking
2024-02-03,Care hold those north trouble.,Services,182.5,"Ray, Smith and Martinez",Checking
2024-01-01,Popular if.,Entertainment,114.6,Ryan-Gordon,Checking
2024-01-23,Medical lay lose.,Services,309.98,Santiago Group,Credit Card
2024-02-05,Environmental medical.,Rent,-93.45,Beck-Ramos,Credit Card
2024-01-04,Population line Congress must city.,Shopping,94.2,"Walsh, Hill and Zimmerman",Checking
2024-01-17,Story century attention attention hotel.,Services,407.58,Bailey LLC,Checking
2024-02-05,News enter director book.,Services,216.23,Ryan-Costa,Savings
2024-01-03,Growth behind probably.,Groceries,-264.52,Mitchell Group,Checking
2024-01-27,Statement carry.,Utilities,392.79,Thompson Inc,Checking
2024-01-14,Cup almost identify record own.,Shopping,-252.97,"Kerr, Davis and Phelps",Credit Card
2024-01-07,Use nice.,Health,-184.23,"Berg, Herman and Thomas",Savings
2024-01-12,Their rate drop marriage.,Transport,123.47,Kemp-Herrera,Credit Card
2024-02-06,Ever across great.,Entertainment,-237.65,Stevenson LLC,Checking
2024-01-24,Unit begin fight institution school.,Entertainment,287.93,Mccann-Bennett,Savings
